head	tail	relation
Project 635 Dam	three dams constructed on the Irtysh River in China's Xinjiang Uighur Autonomous Region	is part of
Project 635 Dam	embankment dam	instance of
Project 635 Dam	Fuhai County	part of the administrative territorial entity
Project 635 Dam	56 km east of Beitun	located in
Project 635 Reservoir	Project 635 Dam	creator of
Project 635 Reservoir	Irtysh–Karamay–Ürümqi Canal	water source
Wafangdian	Fuxian	has formerly been known as
Wafangdian	Fu County	has formerly been known as
Wafangdian	two "northern county-level cities"	is part of
Wafangdian	Zhuanghe	administrative division
Wafangdian	Dalian	part of the administrative territorial entity
Wafangdian	ball bearing industry	notable
Wafangdian Bearing Factory	largest bearing manufacturer in Asia	instance of
Wafangdian Bearing Factory	Japanese during World War II	founder of
Wafangdian	3576.40 km²	area
Wafangdian	Yingkou	part of the administrative territorial entity
Wafangdian	northeast	bordering region
Second Ürümqi–Jinghe Railway	Wujing Line No. 2	alternative name
Second Ürümqi–Jinghe Railway	double-track railway	instance of
Second Ürümqi–Jinghe Railway	Ürümqi	endpoints
Second Ürümqi–Jinghe Railway	Jinghe	endpoints
Second Ürümqi–Jinghe Railway	381.5 km	length
Second Ürümqi–Jinghe Railway	Northern Xinjiang Railway	parallel to
Second Ürümqi–Jinghe Railway	Changji	endpoints
Second Ürümqi–Jinghe Railway	Hutubi	endpoints
Second Ürümqi–Jinghe Railway	Manas	endpoints
Second Ürümqi–Jinghe Railway	Shihezi	endpoints
Second Ürümqi–Jinghe Railway	Kuytun	endpoints
Second Ürümqi–Jinghe Railway	Wusu	endpoints
Second Ürümqi–Jinghe Railway	Jinghe	endpoints
Second Ürümqi–Jinghe Railway	2009	date of publication
Second Ürümqi–Jinghe Railway	alleviate growing traffic on the Northern Xinjiang Railway	purpose of
Ransom Riggs	American writer	instance of
Ransom Riggs	filmmaker	occupation
Ransom Riggs	Miss Peregrine's Home for Peculiar Children	notable work
Hollow City	dark fantasy novel	instance of
Hollow City	Miss Peregrine's Home for Peculiar Children	subsequent to
Hollow City	Ransom Riggs	author of work
Hollow City	Quirk Books	publisher
Hollow City	right after the first	plot point
Hollow City	London	location relationship
London	peculiar capital of the world	is a description of
ONE National Gay & Lesbian Archives	largest repository of LGBT materials in the world	is a description of
ONE National Gay & Lesbian Archives	University of Southern California Libraries	is part of
ONE National Gay & Lesbian Archives	2010	affiliation
ONE Archives' collections	over two million items	number of items constructed
ONE Archives' collections	over two million items	contains substance
ONE Archives	a small gallery and museum space	has part of
a small gallery and museum space	LGBT art and history	themes
Use of the collections	free during regular business hours	allows access
List of New Music America performances	partial list of performances	instance of
performances	New Music America festival	is part of
New Music America festival	1979 to 1990	time period of
New Music America festival	a different city each year	geographical feature has location
list	Georges Dupuis' personal archives	source of information
Georges Dupuis' personal archives	travel to the 1984 to 1990 festivals	time period covered
Georges Dupuis	secretary to the New Music Alliance planning sessions	position held from
Ira Deutchman	producer	occupation
Ira Deutchman	distributor	occupation
Ira Deutchman	marketer of independent films	occupation
Ira Deutchman	2000	date of start
Emerging Pictures	Ira Deutchman	partner
Emerging Pictures	New York-based digital exhibition company	instance of
Emerging Pictures	20 Year Media	acquired from
Columbia University School of the Arts	Ira Deutchman	director of film
Ira Deutchman	2011 to 2015	term of office
Say Say Say	Paul McCartney	creator of
Say Say Say	Michael Jackson	creator of
Say Say Say	1983	date of publication
Say Say Say	George Martin	executive producer
Say Say Say	Pipes of Peace	part of album
Say Say Say	Tug of War	recorded during
Say Say Say	Michael Jackson	recorded during
Say Say Say	1983	date of publication
Say Say Say	The Girl Is Mine	preceded by
The Girl Is Mine	duet	instance of
The Girl Is Mine	Thriller	part of album
Pipes of Peace	studio album	instance of
Pipes of Peace	Paul McCartney	creator of
Pipes of Peace	1983	date of publication
Pipes of Peace	Tug of War	follow-up to
Pipes of Peace	Tug of War	reception
This Time Around	song	instance of
This Time Around	Michael Jackson	performer
This Time Around	The Notorious B.I.G.	featured artist
This Time Around	Michael Jackson's ninth studio album	series
This Time Around	1995	date of publication
This Time Around	fourth single	is a type of
This Time Around	Michael Jackson	author of work
This Time Around	Dallas Austin	executive producer
This Time Around	Michael Jackson	executive producer
This Time Around	Bruce Swedien	co-producer of
This Time Around	René Moore	co-producer of
This Time Around	musician's problems with being famous and dealing with stardom	lyrical themes
This Time Around	United States	promotional item for
This Time Around	December 1995	date of release
"The Girl Is Mine"	Michael Jackson	author of work
"The Girl Is Mine"	Michael Jackson	executive producer
"The Girl Is Mine"	Quincy Jones	executive producer
Norwegian County Road 406	Norwegian county road	instance of
Norwegian County Road 406	Birkenes municipality	part of the administrative territorial entity
Norwegian County Road 406	Aust-Agder county	part of the administrative territorial entity
Norwegian County Road 406	Norway	located in
Norwegian County Road 406	18.1 km	length
Norwegian County Road 406	Sennumstad	endpoints
Sennumstad	Tovdalselva river	is located on
Norwegian County Road 406	Stemlona	endpoints
Norwegian County Road 406	Norwegian County Road 405	connects
Norwegian County Road 406	Norwegian County Road 405	connects
Norwegian County Road 406	Norwegian National Road 41	connects
Norwegian County Road 406	Norwegian National Road 41	connects
Norwegian County Road 406	rural area in Birkenes	located in the administrative region
Sørlandsbanen railway line	Norwegian County Road 406	crosses between
Sørlandsbanen railway line	Norwegian County Road 406	crosses between
Norwegian County Road 3	county road	instance of
Norwegian County Road 3	Vest-Agder county	part of the administrative territorial entity
Norwegian County Road 3	Norway	part of the administrative territorial entity
Norwegian County Road 3	district of Søm	serves location
Norwegian County Road 3	district of Randesund	serves location
district of Randesund	borough Oddernes	part of the administrative territorial entity
Norwegian County Road 3	Rona	terminus
Norwegian County Road 3	Torsvik - Saltbustad - Korsvik - Dvergsnes - Odderhei - Holte - Tømmerstø - Vrånes - Kirkevik and Lykkedrag	serves location
Norwegian County Road 3	Norwegian County Road 401	connects
Norwegian County Road 401	Kristiansand	connects
Kristiansand	west	movement direction
Norwegian County Road 401	Lillesand	connects
Lillesand	east	movement direction
Norwegian County Road 774	county road	instance of
Norwegian County Road 774	4.2 km	length
Norwegian County Road 774	Levanger municipality	part of the administrative territorial entity
Norwegian County Road 774	Nord-Trøndelag county	part of the administrative territorial entity
Norwegian County Road 774	Norway	part of the administrative territorial entity
Norwegian County Road 774	European Route E6	intersection location
Norwegian County Road 774	Mule	junction
Norwegian County Road 774	town center of Levanger	passes through
Norwegian County Road 774	Levanger–Hokstad Ferry	continued
Reader's Digest Condensed Books	hardcover anthology collection	instance of
Reader's Digest Condensed Books	Reader's Digest	publisher
Reader's Digest Condensed Books	direct mail	distribution
Reader's Digest Condensed Books	five current best-selling novels and nonfiction books	contains
Reader's Digest Condensed Books	abridged specifically for Reader's Digest	argues
Reader's Digest Select Editions	hardcover fiction anthology book	instance of
Reader's Digest Select Editions	bi-monthly	publication frequency
Reader's Digest Select Editions	subscription	availability
Reader's Digest Select Editions	Reader's Digest	publisher
Reader's Digest Select Editions	four or five current bestselling novels	contains
Reader's Digest Select Editions	Digest editors	selection
Reader's Digest Select Editions	shorter form	described characterization
Reader's Digest Guide to Love and Sex	sex manual	instance of
Reader's Digest Guide to Love and Sex	Amanda Roberts and Barbara Padgett-Yawn	editor
Reader's Digest Guide to Love and Sex	Reader's Digest	publisher
If on a winter's night a traveler	novel	instance of
If on a winter's night a traveler	Italo Calvino	author of work
If on a winter's night a traveler	Se una notte d'inverno un viaggiatore	original author
If on a winter's night a traveler	frame story	narrative style
If on a winter's night a traveler	the reader trying to read a book called "If on a winter's night a traveler"	describes
If on a winter's night a traveler	first section of each chapter describing the process the reader goes through to attempt to read the next chapter of the book	describes
If on a winter's night a traveler	second half of each chapter being the first part of a new book that the reader finds	describes
If on a winter's night a traveler	second half being always about something different from the previous ones	describes
If on a winter's night a traveler	ending never being explained	describes
If on a winter's night a traveler	William Weaver	translation
If on a winter's night a traveler	1981	date of publication
Reader's Digest Press	publisher	instance of
Reader's Digest Press	mid-1970s	inception
Reader's Digest Press	The Reader's Digest Association	owner of
Reader's Digest Press	military or political topics	subject is
The Orb	twelve	number of studio albums
The Orb	one	number of albums
The Orb	six	number of studio albums
The Orb	four	number of studio albums
The Orb	four	number of studio albums
The Orb	two	number of music videos released
The Orb	ten	number of matches played
The Orb	fifteen	number of singles
The Orb	twenty-two	number of music videos released
The Orb	Alex Paterson	founder of
The Orb	Jimmy Cauty	founder of
The Orb	1988	date of founding
The Orb	Kiss EP	debut album
Kiss EP	May 1989	date of publication
The Orb	A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld	is a single from
"A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld"	ambient house	genre
"A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld"	October 1989	date of publication
"A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld"	WAU! Mr. Modo Recordings	record label
"A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld"	Big Life	reprinted by
"A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld"	number 78 in the United Kingdom	chart position
The Orb	Jimmy Cauty	member who left
The Orb	Big Life	record label
The Orb	"The Orb's Adventures Beyond the Ultraworld"	recorded album
"The Orb's Adventures Beyond the Ultraworld"	April 1991	date of publication
"The Orb's Adventures Beyond the Ultraworld"	number 29 in the United Kingdom	chart position
"The Orb's Adventures Beyond the Ultraworld"	seminal album of the ambient house genre	genre
"Little Fluffy Clouds"	"The Orb's Adventures Beyond the Ultraworld"	single from album
"Perpetual Dawn"	"The Orb's Adventures Beyond the Ultraworld"	single from album
From Under the Cork Tree	second studio album by American rock band Fall Out Boy	instance of
From Under the Cork Tree	Island Records	publisher
From Under the Cork Tree	major label debut album	instance of
From Under the Cork Tree	Patrick Stump	composer
